date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:17:59	8001/8001	---MC-	200	added ('OK')	text/html	date:Tue,%2025%20Jun%202024%2014:17:59%20GMT	https://mpsopendata.crc.nd.edu/	./index-2.html	(from )
09:17:59	2019/2019	---M--	200	added ('OK')	image/vnd.microsoft.icon	etag:%227e3-51a60795eecc0%22	https://mpsopendata.crc.nd.edu/templates/mpsod-protostar/favicon.ico	./templates/mpsod-protostar/favicon.ico	(from https://mpsopendata.crc.nd.edu/)
09:18:01	158167/158167	---M--	200	added ('OK')	text/css	etag:%22269d7-51a86144bb900%22	https://mpsopendata.crc.nd.edu/templates/mpsod-protostar/css/template.css	./templates/mpsod-protostar/css/template.css	(from https://mpsopendata.crc.nd.edu/)
09:18:01	693/693	---M--	200	added ('OK')	application/opensearchdescription+xml	date:Tue,%2025%20Jun%202024%2014:18:01%20GMT	https://mpsopendata.crc.nd.edu/index.php/component/search/?id=8&Itemid=101&format=opensearch	./index.php/component/search/indexbea1.html	(from https://mpsopendata.crc.nd.edu/)
09:18:01	97646/97646	---M--	200	added ('OK')	application/javascript	etag:%2217d6e-5fffc2ae44e00%22	https://mpsopendata.crc.nd.edu/media/jui/js/jquery.min.js?02acf84151265a5160a64b014bc8a49a	./media/jui/js/jquery.min9a46.js	(from https://mpsopendata.crc.nd.edu/)
09:18:02	21/21	---M--	200	added ('OK')	application/javascript	etag:%2215-5fffc2ae44e00%22	https://mpsopendata.crc.nd.edu/media/jui/js/jquery-noconflict.js?02acf84151265a5160a64b014bc8a49a	./media/jui/js/jquery-noconflict9a46.js	(from https://mpsopendata.crc.nd.edu/)
09:18:03	10056/10056	---M--	200	added ('OK')	application/javascript	etag:%222748-5fffc2ae44e00%22	https://mpsopendata.crc.nd.edu/media/jui/js/jquery-migrate.min.js?02acf84151265a5160a64b014bc8a49a	./media/jui/js/jquery-migrate.min9a46.js	(from https://mpsopendata.crc.nd.edu/)
09:18:04	491/491	---M--	200	added ('OK')	application/javascript	etag:%221eb-5fffc2ae44e00%22	https://mpsopendata.crc.nd.edu/media/system/js/caption.js?02acf84151265a5160a64b014bc8a49a	./media/system/js/caption9a46.js	(from https://mpsopendata.crc.nd.edu/)
09:18:05	29126/29126	---M--	200	added ('OK')	application/javascript	etag:%2271c6-5fffc2ae44e00%22	https://mpsopendata.crc.nd.edu/media/jui/js/bootstrap.min.js?02acf84151265a5160a64b014bc8a49a	./media/jui/js/bootstrap.min9a46.js	(from https://mpsopendata.crc.nd.edu/)
09:18:06	1340/1340	---M--	200	added ('OK')	application/javascript	etag:%2253c-51a60795eecc0%22	https://mpsopendata.crc.nd.edu/templates/mpsod-protostar/js/template.js	./templates/mpsod-protostar/js/template.js	(from https://mpsopendata.crc.nd.edu/)
09:18:07	37111/37111	---M--	200	added ('OK')	image/png	etag:%2290f7-51a7434633a40%22	https://mpsopendata.crc.nd.edu/images/mpsod-visual-id/mpsopendata_logo_dkbkgrnd.png	./images/mpsod-visual-id/mpsopendata_logo_dkbkgrnd.png	(from https://mpsopendata.crc.nd.edu/)
09:18:09	8010/8010	---MC-	200	added ('OK')	text/html	date:Tue,%2025%20Jun%202024%2014:18:08%20GMT	https://mpsopendata.crc.nd.edu/index.php	./index-3.html	(from https://mpsopendata.crc.nd.edu/)
09:18:09	6477/6477	---M--	200	added ('OK')	text/html	date:Tue,%2025%20Jun%202024%2014:18:09%20GMT	https://mpsopendata.crc.nd.edu/index.php/final-report	./index.php/final-report.html	(from https://mpsopendata.crc.nd.edu/)
09:18:11	9694/9694	---MC-	200	added ('OK')	text/html	date:Tue,%2025%20Jun%202024%2014:18:11%20GMT	https://mpsopendata.crc.nd.edu/index.php/workshop-1/about-w1	./index.php/workshop-1/about-w1.html	(from https://mpsopendata.crc.nd.edu/)
09:18:11	10058/10058	---MC-	200	added ('OK')	text/html	date:Tue,%2025%20Jun%202024%2014:18:11%20GMT	https://mpsopendata.crc.nd.edu/index.php/w-2/about-w2	./index.php/w-2/about-w2.html	(from https://mpsopendata.crc.nd.edu/)
